;data;cidade;estado;formato
121;10/1/97 01:20;Garland;TX;Rectangle
122;10/1/97 01:10;Fort Jennings;OH;Other
123;10/1/97 00:00;Bemidji;MN;Triangle
124;11/30/97 02:00;"LeMars (IA)/Denver (CO) (uncertain; traveling from)";NE;Light
125;11/29/97 20:00;Gorman (60 miles north of Los Angeles);CA;Light
126;11/29/97 18:15;Orcas Island;WA;Light
127;11/28/97 19:30;Lake Geneva;WI;Fireball
128;11/28/97 19:30;Lake Geneva;WI;Fireball
129;11/28/97 00:45;St. Paul;MN;Fireball
130;11/27/97 19:30;Northampton;MA;Other
131;11/25/97 00:30;El Dorado;AR;Other
132;11/24/97 22:55;Palm Harbor;FL;Triangle
133;11/24/97 02:00;Salisbury;MD;Oval
134;11/24/97 02:00;Salisbury;MD;Oval
135;11/23/97 21:32;Wichita Falls (Sheppard AFB);TX;Light
136;11/23/97 05:50;Albuquerque;NM;Fireball
137;11/22/97 20:45;Palo;MI;Triangle
138;11/22/97 17:30;Albuquerque;NM;Other
139;11/21/97 20:00;Fremont;MI;Circle
140;11/21/97 17:00;North Kingstown;RI;Triangle
141;11/21/97 12:00;Plattsmouth;NE;Circle
142;11/20/97 23:00;Cedar River;MI;Fireball
143;11/20/97 18:00;Rock Hill;NY;Triangle
144;11/20/97 05:29;Frostbite Falls;MO;Disk
145;11/20/97 02:00;Chicago;IL;Other
146;11/20/97 01:00;Springfield (25 miles northeast of);MO;Oval
147;11/18/97 19:30;Malta (60 miles south of);MT;Rectangle
148;11/18/97 02:00;Scott AFB (outside of);IL;Light
149;11/17/97 05:30;Bracketville;TX;Cigar
150;11/17/97 03:00;Wasilla;AK;Triangle
151;11/17/97 03:00;Clearwater Beach;FL;Oval
152;11/15/97 23:30;Pompano Beach;FL;Sphere
153;11/15/97 23:00;Chester;NJ;Circle
154;11/15/97 23:00;Chester;NJ;Circle
155;11/15/97 22:00;Eureka;CA;Triangle
156;11/15/97 21:30;Varysburg;NY;Triangle
157;11/15/97 21:00;Tamaqua;PA;Light
158;11/15/97 21:00;Tennessee (on highway);TN;Sphere
159;11/15/97 20:00;El Centro;CA;Oval
160;11/15/97 18:45;West Palm Beach;FL;Other
161;11/15/97 18:30;Hubbard;OH;Triangle
162;11/15/97 04:00;Lockport;NY;Sphere
163;11/15/97 03:50;Reno;NV;Triangle
164;11/15/97 02:30;Longview;WA;Other
165;11/15/97 00:35;Tucson;AZ;Other
166;11/14/97 23:15;Redondo Beach;CA;Fireball
167;11/14/97 22:25;Bellingham;WA;Formation
168;11/14/97 22:00;Stevens Pass;WA;Disk
169;11/14/97 21:30;Olympia;WA;Fireball
170;11/14/97 21:30;Corbett;OR;Formation
171;11/14/97 21:30;Olympia (East of);WA;Formation
172;11/14/97 21:15;Snoqualmie;WA;Formation
173;11/14/97 21:15;McMinnville;OR;Formation
174;11/14/97 21:15;Freeland (Whidbey Island);WA;Formation
175;11/14/97 21:15;Renton;WA;Formation
176;11/14/97 21:12;Centralia;WA;Sphere
177;11/14/97 21:11;Burlington;WA;Formation
178;11/14/97 21:11;Renton;WA;Formation
179;11/14/97 21:10;Snohomish;WA;Formation
180;11/14/97 21:10;Issaquah;WA;Other
181;11/14/97 21:10;Winthrop;WA;Fireball
182;11/14/97 21:10;Mukilteo;WA;Formation
183;11/14/97 21:09;Tonasket (14 miles east of);WA;Formation
184;11/14/97 21:05;Edmonds;WA;Formation
185;11/14/97 21:00;Kenmore;WA;Rectangle
186;11/14/97 21:00;Olympia;WA;Formation
187;11/14/97 21:00;Poulsbo;WA;Formation
188;11/14/97 21:00;Noblesville;IN;Fireball
189;11/14/97 21:00;Seattle;WA;Diamond
190;11/14/97 21:00;North Camano Island - Buena Vista  area- above Utsalady Bay;WA;Formation
191;11/14/97 21:00;West Seattle;WA;Formation
192;11/14/97 21:00;Mt. Vernon;WA;Circle
193;11/14/97 21:00;Seattle;WA;Formation
194;11/14/97 21:00;Gig Harbor;WA;Formation
195;11/14/97 20:00;Lynnwood;WA;Oval
196;11/14/97 19:55;Oakland;CA;Disk
197;11/14/97 19:30;Oroville;WA;Triangle
198;11/14/97 18:35;Dallas/Ft. Worth (Approaching);TX;Formation
199;11/14/97 17:34;Palo;MI;Triangle
200;11/14/97 17:00;Portland;OR;Formation
201;11/14/97 16:00;Birch Bay;WA;Other
202;11/13/97 21:15;Trenton (just outside);NJ;Light
203;11/13/97 01:45;Corvallis;OR;Light
204;11/12/97 17:30;Seattle;WA;Light
205;11/12/97 16:30;Divide;CO;Light
206;11/12/97 00:03;Sodus;NY;Cigar
207;11/11/97 21:00;Enumclaw (outside of);WA;Chevron
208;11/11/97 05:30;Columbus;OH;Cylinder
209;11/11/97 01:00;O'Fallon;MO;Triangle
210;11/10/97 23:00;Santee;CA;Light
211;11/10/97 21:45;Hurricane;WV;Circle
212;11/10/97 20:00;Orem;UT;Triangle
213;11/9/97 21:00;Perkinston;MS;Cigar
214;11/9/97 06:15;Newport (coast range, east of);OR;Formation
215;11/8/97 19:30;Louisville;KY;Changing
216;11/7/97 18:30;Austin;TX;Light
217;11/6/97 19:00;Kentwood;MI;Other
218;11/4/97 20:45;Seattle;WA;Light
219;11/2/97 00:00;Houston;TX;Light
220;11/1/97 22:00;Los Angeles (just outside);CA;Light
221;11/1/97 22:00;New York City (Bronx);NY;Light
222;11/1/97 21:35;Carson;CA;Formation
223;11/1/97 18:50;Doniphan;MO;Fireball
224;11/1/97 18:30;Sartoga;CA;Other
225;11/1/97 06:00;Newton;GA;Light
226;11/1/97 03:00;Bridgewater;MA;Triangle
227;12/31/97 20:30;Manassas;VA;Formation
228;12/31/97 20:30;Warren;OH;Other
229;12/31/97 19:30;Crystal Beach;TX;Circle
230;12/31/97 17:45;Gulfport;MS;Triangle
231;12/31/97 17:45;Gulfport;MS;Triangle
232;12/30/97 19:30;Milton (north of);FL;Triangle
233;12/30/97 17:40;Victorville (east of);CA;Circle
234;12/27/97 20:00;Spokane;WA;Light
235;12/26/97 22:30;Dale City (Interstate 95);VA;Triangle
236;12/26/97 20:00;Primrose;GA;Light
237;12/25/97 09:00;Los Angeles (Eagle Rock);CA;Disk
238;12/25/97 02:00;Charlotte;NC;Light
239;12/23/97 20:00;East Woodstock;CT;Oval
240;12/21/97 05:25;Harrisonburg;VA;Light
241;12/20/97 23:00;Las Vegas;NV;Disk
242;12/20/97 22:00;Prescott (North of);AZ;Sphere
243;12/20/97 02:24;San Jose;CA;Triangle
244;12/18/97 22:50;Oxnard;CA;Cigar
245;12/17/97 11:45;Burlington;VT;Diamond
246;12/17/97 11:45;Colchester;VT;Light
247;12/17/97 00:15;Ocala;FL;Fireball
248;12/16/97 23:23;North San Diego;CA;Fireball
249;12/16/97 18:30;Baltimore;MD;Triangle
250;12/16/97 02:30;Tarzana (San Fernando Valley);CA;Triangle
251;12/15/97 23:35;Marlette;MI;Circle
252;12/15/97 22:30;Gardiner;ME;Disk
253;12/15/97 22:00;Scranton;PA;Circle
254;12/15/97 22:00;Iola;IL;Fireball
255;12/15/97 20:00;Salida;CA;Light
256;12/15/97 18:00;Oak Hill;WV;Triangle
257;12/15/97 03:30;Naperville;IL;Disk
258;12/15/97 01:00;Thief River Falls;MN;Disk
259;12/14/97 23:30;Prescott Valley;AZ;Other
260;12/14/97 06:45;Auburn;IN;Sphere
261;12/12/97 02:03;Lubbock;TX;Other
262;12/11/97 21:27;Kinaid;IL;Triangle
263;12/11/97 19:15;Seattle;WA;Light
264;12/10/97 21:30;Williamsburg;OH;Diamond
265;12/10/97 20:00;Fort Ann;NY;Other
266;12/10/97 01:30;Oakland;CA;Triangle
267;12/9/97 18:00;Reno;NV;Circle
268;12/9/97 17:55;Reno;NV;Light
269;12/9/97 17:30;Reno;NV;Light
270;12/9/97 17:00;Reno;NV;Light
271;12/9/97 08:30;Kent (Auburn, Over S. King Co. Valley);WA;Circle
272;12/8/97 19:40;East Wenatchee;WA;Light
273;12/8/97;Wenatchee;WA;Light
274;12/7/97 03:00;Ashland (right over Highway 63);MO;Triangle
275;12/5/97 18:00;Salton Sea (Over);CA;Disk
276;12/5/97 03:00;Clearwater Beach;FL;Oval
277;12/2/97 20:30;Birch Run;MI;Chevron
278;12/2/97 20:00;Birch Run;MI;Disk
279;12/1/97 23:30;Paramus (souh of);NJ;Fireball
280;12/1/97 22:00;Greentown;IN;Cigar
281;12/1/97 21:45;San Jose;CA;Triangle
282;12/1/97 21:15;Santa Cruz;CA;Triangle
283;12/1/97 12:00;San Francisco (Observed from);CA;Other
284;12/1/97 03:30;Naperville;IL;Oval
285;12/1/97 00:00;Warwick;RI;Circle
286;1/31/98 20:00;Shirley;NY;Disk
287;1/30/98 21:05;Monroe City (3 miles East of);MO;Fireball
288;1/30/98 20:00;Sedona (5 miles w. of);AZ;Light
289;1/30/98 18:50;Dallas;TX;Light
290;1/29/98 21:15;Scranton;KS;Fireball
291;1/29/98 14:00;Coventry;RI;Disk
292;1/28/98 22:00;Alberton;MT;Oval
293;1/27/98 21:50;Anaheim Hills;CA;Light
294;1/27/98 21:23;Miami;FL;Light
295;1/27/98 20:20;Woodinville (North East);WA;Sphere
296;1/27/98 19:30;Woodland (6 miles from town);WA;Triangle
297;1/27/98 17:00;Las Cruces (on Interstate 10,west of);NM;Disk
298;1/26/98 21:00;Las Vegas;NV;Sphere
299;1/26/98 20:45;Bartelso (outside of);IL;Oval
300;1/26/98 16:50;Coconut Creek;FL;Circle
301;1/25/98 20:30;Ripley;MS;Light
302;1/24/98 21:28;Cape Coral;FL;Diamond
303;1/24/98 15:30;Tucson;AZ;Light
304;1/24/98 15:20;Leander;TX;Cylinder
305;1/24/98 09:30;San Bernardino;CA;Sphere
306;1/24/98 05:45;Kaneohe;HI;Triangle
307;1/23/98 21:00;Alberton;MT;Circle
308;1/23/98 18:05;Holstein/Heartwell (In country between);NE;Triangle
309;1/21/98 22:00;Goldsboro (north of);NC;Formation
310;1/19/98 06:50;Tucson;AZ;Other
311;1/18/98 19:30;La Grande;OR;Circle
312;1/15/98 20:30;Fargo;ND;Fireball
313;1/15/98 19:00;Grants Pass;OR;Triangle
314;1/15/98 13:00;Alaska (remote);AK;Disk
315;1/15/98 05:30;Daytona Beach;FL;Light
316;1/15/98 05:00;Lake City;CO;Light
317;1/15/98 01:00;New York City (Manhattan);NY;Formation
318;1/15/98 01:00;Neshanic Station;NJ;Light
319;1/14/98 21:00;Litchfield Park;AZ;Triangle
320;1/13/98 20:40;Goodyear;AZ;Light
321;1/13/98 01:00;Minot;ND;Fireball
322;1/11/98 20:10;Rachel;NV;Disk
323;1/11/98 06:55;Middletown;NJ;Fireball
324;1/11/98 06:55;Cape May;NJ;Light
325;1/11/98 00:10;Colorado Springs (north of, on I-25);CO;Fireball
326;1/10/98 22:10;Saginaw;MI;Light
327;1/10/98 17:00;Bremerton (over);WA;Light
328;1/10/98 10:00;Beals;ME;Circle
329;1/9/98 20:00;Cape Coral;FL;Light
330;1/9/98 18:30;Pottstown;PA;Triangle
331;1/8/98 22:38;Fairbanks;AK;Oval
332;1/8/98 20:00;Chico;CA;Oval
333;1/8/98 20:00;Satellite Point (near, midway between Orlando & Boca);FL;Changing
334;1/8/98 17:00;Petoskey;MI;Light
335;1/7/98 23:30;New York City (Brooklyn);NY;Diamond
336;1/7/98 16:10;Renton;WA;Sphere
337;1/6/98 18:00;Camarillo;CA;Other
338;1/5/98 20:00;Hudson;NY;Triangle
339;1/5/98 16:15;Phelan;CA;Other
340;1/5/98 15:50;Highland;CA;Other
341;1/4/98 23:45;Nashville;TN;Circle
342;1/3/98 02:30;I-90 (westbound, just before the mountains);WA;Sphere
343;1/1/98 23:00;Milwaukee/West Allis/West Milwaukee;WI;Changing
344;1/1/98 20:30;Coxsacke;NY;Light
345;1/1/98 20:00;Graniteville;SC;Disk
346;1/1/98 13:00;Baton Rouge;LA;Circle
347;1/1/98 13:00;Cannon AFB;NM;Diamond
348;1/1/98 12:58;St. Louis;MO;Flash
349;1/1/98 07:30;Pittsburgh;PA;Formation
350;1/1/98 06:00;Hoboken;NJ;Disk
351;1/1/98 04:00;Huelo;HI;Light
352;1/1/98 02:00;Elizabethtown;IL;Triangle
353;1/1/98 01:42;Allentown;PA;Light
354;1/1/98 00:58;St. Louis;MO;Flash
355;2/28/98 19:15;North Highlands;CA;Light
356;2/27/98 22:30;Vancouver;WA;Circle
357;2/27/98 22:10;Bangor;ME;Flash
358;2/27/98 22:00;Bellville;OH;Circle
359;2/27/98 19:35;Hesperia;CA;Fireball
360;2/26/98 22:30;Tallahassee;FL;Triangle
361;2/26/98 20:30;Colorado Springs;CO;Fireball
362;2/26/98 19:09;Ontario;NY;Disk
363;2/25/98 20:00;Nashville;TN;Fireball
364;2/25/98 11:25;Harrisburg;PA;Cigar
365;2/25/98 05:45;Stouthill (community, nearest city 30 miles, TN);TN;Cylinder
366;2/25/98 03:00;Phoenix;AZ;Light
367;2/24/98 23:00;Licking;MO;Light
368;2/24/98 17:00;Houston;TX;Cigar
369;2/23/98 07:30;Wyoming;MI;Changing
370;2/23/98 05:30;Ossipee;NH;Light
371;2/21/98 20:00;Halifax;NC;Circle
372;2/21/98 17:50;Tappahannock;VA;Circle
373;2/21/98 11:30;Nokomis;FL;Sphere
374;2/20/98 22:57;Columbus;OH;Triangle
375;2/20/98 20:30;Kalispell;MT;Light
376;2/20/98 19:00;Kerrville;TX;Changing
377;2/20/98 11:30;Fairfield;CA;Disk
378;2/19/98 19:05;Fairfax;VA;Triangle
379;2/19/98 00:01;Amherst (near High Peak);VA;Triangle
380;2/18/98 23:00;Orlando;FL;Triangle
381;2/18/98 21:30;Mobile;AL;Circle
382;2/17/98 16:00;Moreno Valley;CA;Sphere
383;2/16/98 18:52;Auburn;WA;Fireball
384;2/15/98 23:35;Toledo/Maumee;OH;Other
385;2/15/98 23:30;Blackfoot;ID;Flash
386;2/15/98 19:30;Duluth;MN;Flash
387;2/15/98 12:00;Yakima;WA;Changing
388;2/15/98 08:00;San Jose;CA;Cigar
389;2/14/98 22:50;Glen Burnie;MD;Oval
390;2/14/98 10:45;Rocky Mount;NC;Disk
391;2/14/98 05:00;Oceanside;CA;Chevron
392;2/13/98 20:00;Crestone;CO;Light
393;2/12/98 22:15;Sharon (to Brookfield, OH);PA;Changing
394;2/12/98 18:20;Snohomish;WA;Oval
395;2/12/98 17:10;Merritt Parkway (about Exit 38);CT;Light
396;2/12/98 12:35;Shelby County airport (@231 mile marker);AL;Cigar
397;2/11/98 22:15;Burdett;NY;Other
398;2/10/98 21:00;Londonderry;NH;Light
399;2/10/98 21:00;Callicoon;NY;Oval
400;2/10/98 20:00;Laguna Niguel;CA;Sphere
401;2/10/98 20:00;Danbury;CT;Cylinder
402;2/10/98 00:30;Sunnyvale;CA;Other
403;2/9/98 23:30;Crescent City;CA;Rectangle
404;2/9/98 00:15;Austin;TX;Circle
405;2/8/98 19:20;Moundsville;WV;Light
406;2/7/98 11:00;Twenty Nine Palms;CA;Other
407;2/6/98 19:06;Webster;TX;Light
408;2/6/98 19:00;Emporia;KS;Light
409;2/6/98 02:45;Graham;WA;Light
410;2/6/98 00:00;Worcester;MA;Fireball
411;2/5/98 20:30;Gratis;OH;Triangle
412;2/5/98 07:11;Hart;MI;Fireball
413;2/5/98 00:45;Memphis;TN;Triangle
414;2/3/98 18:50;Portage;MI;Sphere
415;2/3/98 02:45;Apache Junction (southeast of);AZ;Other
416;2/2/98 22:23;Aurora;CO;Light
417;2/2/98 19:00;Fort Cambell (25 or 30 mi. nw);KY;Light
418;2/1/98 15:00;East Los Angeles;CA;Triangle
419;2/1/98 01:00;Newbury Park;CA;Chevron
420;2/1/98 00:30;Four Corners;NM;Other
421;3/31/98 19:30;Ozark National Forest (near Spring Lake, aprx.5 miles to N);AR;Rectangle
422;3/31/98 05:00;Baraboo;WI;Light
423;3/30/98 23:00;Davenport (Vanderveer Park);IA;Circle
424;3/30/98 22:30;Bel Air;MD;Formation
425;3/29/98 20:18;Lunenburg;MA;Fireball
426;3/29/98 19:30;Indio;CA;Light
427;3/29/98 02:29;Yakima;WA;Changing
428;3/28/98 20:30;Death Valley (Furnace Creek Ranch);CA;Fireball
429;3/28/98 13:00;Urbana;OH;Disk
430;3/27/98 23:00;Newnan;GA;Disk
431;3/27/98 23:00;Clifton Park (30 min north of Albany);NY;Other
432;3/27/98 22:35;Arroyo Grande;CA;Disk
433;3/27/98 21:00;Pueblo;CO;Light
434;3/27/98 20:40;Milwaukee;WI;Circle
435;3/26/98 22:00;Lake Wales;FL;Light
436;3/26/98 22:00;Portland;OR;Light
437;3/26/98 21:50;St. Cloud (south of, over Lake Tohopekilagia);FL;Light
438;3/26/98 21:45;Kissimmee;FL;Light
439;3/26/98 21:30;St. Cloud;FL;Light
440;3/26/98 19:00;Beautiful Home Community of Monroe County;KY;Light
441;3/26/98 19:00;Poseyville;IN;Oval
442;3/25/98 23:30;Alexandria;LA;Triangle
443;3/24/98 22:10;Teague;TX;Fireball
444;3/24/98 22:00;Fort Pierce/Orlando (between);FL;Fireball
445;3/24/98 21:55;Tempe;AZ;Triangle
446;3/24/98 21:50;Lake Placid;FL;Light
447;3/24/98 16:38;Southport;CT;Circle
448;3/24/98 11:30;Ceasar's Creek and Dayton;OH;Light
449;3/22/98 23:30;Doylestown;PA;Disk
450;3/21/98 22:30;San Antonio;TX;Formation
451;3/21/98 20:15;Holland;MI;Flash
452;3/21/98 20:00;Ten Sleep (outside of);WY;Disk
453;3/20/98 21:46;Kearney;NE;Triangle
454;3/20/98 20:50;Kansas City;MO;Formation
455;3/20/98 18:00;Okoboji;IA;Fireball
456;3/20/98 01:00;Kentwood;MI;Triangle
457;3/20/98 00:00;Harriman State Park;NY;Light
458;3/19/98 23:00;Grosse Ile;MI;Diamond
459;3/19/98 19:00;Spring Hill;TN;Light
460;3/18/98 02:00;Trout Run;PA;Fireball
461;3/16/98 20:56;Bar Harbor;ME;Fireball
462;3/16/98 20:30;Albany;OR;Cigar
463;3/16/98 13:30;Seattle;WA;Sphere
464;3/16/98 03:22;Lunenburg;MA;Light
465;3/16/98 03:15;Holderness;NH;Fireball
466;3/15/98 00:00;Roswell;NM;Triangle
467;3/15/98 22:30;Farina;IL;Fireball
468;3/15/98 21:30;Greensboro;NC;Light
469;3/15/98 21:30;Los Osos;CA;Sphere
470;3/15/98 20:30;Danbury;CT;Cylinder
471;3/15/98 20:30;Anchorage;AK;Oval
472;3/15/98 20:00;North Pole;AK;Sphere
473;3/15/98 19:00;Gladewater;TX;Triangle
474;3/15/98 14:30;Gunnison (30 Miles NE of);CO;Disk
475;3/15/98 14:00;Bozeman;MT;Triangle
476;3/15/98 13:00;Southaven;MS;Disk
477;3/15/98 04:00;Oak Creek;CO;Light
478;3/14/98 21:00;Frankfort;IN;Triangle
479;3/14/98 15:00;Bradenton;FL;Cigar
480;3/14/98 07:50;Tacoma;WA;Fireball
481;3/13/98 23:40;Tulsa;OK;Light
482;3/13/98 22:15;Novato;CA;Flash
483;3/13/98 21:50;Seattle;WA;Sphere
484;3/13/98 21:00;San Diego;CA;Circle
485;3/13/98 17:30;Florence;OR;Cigar
486;3/13/98 13:30;San Jose;CA;Sphere
487;3/12/98 22:10;Ashtabula;OH;Cigar
488;3/12/98 08:34;Greenland;NH;Sphere
489;3/12/98 04:30;Red River;NM;Cylinder
490;3/12/98 02:30;San Antonio;TX;Light
491;3/12/98 01:40;Kennewick;WA;Diamond
492;3/12/98 01:10;Eagle County;CO;Fireball
493;3/11/98 23:30;Quincy;CA;Circle
494;3/11/98 22:03;Colorado Springs;CO;Other
495;3/11/98 19:30;Los Penisquitos (San Diego);CA;Light
496;3/11/98 16:45;Kauai (2/miles off north coast of);HI;Sphere
497;3/10/98 20:00;Alexandria;VA;Chevron
498;3/10/98 19:00;Columbia;SC;Diamond
499;3/10/98 19:00;Windber;PA;Formation
500;3/10/98 18:00;Fort Gordon;GA;Light
501;3/10/98 07:00;Santa Monica;CA;Sphere
502;3/9/98 22:25;Tucson;AZ;Triangle
503;3/9/98 19:40;Butte County;CA;Light
504;3/8/98 22:00;Columbus;GA;Changing
505;3/8/98 12:00;Wichita;KS;Cylinder
506;3/7/98 22:00;Chinook;MT;Changing
507;3/7/98 20:00;West Palm Beach (Vero);FL;Fireball
508;3/7/98 19:50;Punta Gorda;FL;Disk
509;3/7/98 19:30;Bonita Springs (in the east as seen from);FL;Other
510;3/7/98 19:30;Kennedy Space Center;FL;Triangle
511;3/7/98 19:30;West Palm Beach (Road House Grill);FL;Formation
512;3/7/98 19:00;Port Charlotte;FL;Light
513;3/7/98 19:00;Central Florida (Melbourn to West Palm to Orlando);FL;Light
514;3/7/98 18:50;Lehigh Acres;FL;Fireball
515;3/7/98 18:50;Englewood;FL;Sphere
516;3/7/98 18:48;Sarasota;FL;Light
517;3/7/98 18:45;Orlando;FL;Light
518;3/7/98 18:45;Lighthouse Point;FL;Light
519;3/7/98 18:45;Vero Beach (Northern);FL;Formation
520;3/7/98 18:45;Port St. Lucie;FL;Light
521;3/7/98 18:45;Fort Myers;FL;Fireball
522;3/7/98 18:45;West Palm Beach;FL;Circle
523;3/7/98 18:45;Sebastian Inlet;FL;Light
524;3/7/98 18:45;Tampa;FL;Other
525;3/7/98 18:40;Temple Terrace;FL;Light
526;3/7/98 18:40;North Fort Myers;FL;Sphere
527;3/7/98 18:35;Orlando;FL;Sphere
528;3/7/98 18:30;Lake Placid;FL;Light
529;3/7/98 18:17;Benson (Just outside of);NC;Fireball
530;3/7/98 18:00;Cocoa Beach;FL;Light
